"userid","country","age"
"'100004'","'usa'",0
"'100009'","'canada'",49
"'10001'","'usa'",47
"'100029'","'germany'",0
"'10003'","'usa'",20
"'100035'","'canada'",0
"'100043'","'usa'",36
"'100046'","'usa'",14
"'100053'","'usa'",31
"'100066'","'usa'",26
"'100088'","'united kingdom'",26
"'100094'","'canada'",0
"'100098'","'usa'",0
"'100115'","'usa'",42
"'100119'","'usa'",27
"'100121'","'usa'",47
"'100131'","'usa'",16
"'100164'","'germany'",0
"'100167'","'usa'",28
"'100176'","'australia'",0
"'100188'","'germany'",34
"'100194'","'germany'",25
"'100217'","'united kingdom'",31
"'100223'","'usa'",0
"'100227'","'iran'",36
"'100251'","'usa'",43
"'100256'","'canada'",0
"'100261'","'usa'",30
"'100264'","'usa'",37
"'100266'","'canada'",29
"'100294'","'usa'",0
"'10030'","'usa'",66
"'100345'","'italy'",0
"'100354'","'usa'",55
"'100355'","'usa'",26
"'100361'","'usa'",32
"'100393'","'usa'",0
"'100418'","'united kingdom'",0
"'100427'","'usa'",64
"'100448'","'portugal'",0
"'100452'","'canada'",0
"'100454'","'usa'",23
"'100459'","'usa'",38
"'100460'","'usa'",31
"'10047'","'usa'",20
"'100471'","'usa'",39
"'100482'","'spain'",22
"'100494'","'germany'",0
"'100497'","'usa'",54
"'100506'","'usa'",0
"'100510'","'usa'",19
"'100517'","'usa'",46
"'100519'","'usa'",24
"'100561'","'usa'",0
"'100566'","'usa'",0
"'100568'","'singapore'",29
"'100575'","'usa'",0
"'100578'","'ireland'",46
"'100590'","'usa'",27
"'100594'","'canada'",27
"'100610'","'usa'",0
"'10063'","'usa'",35
"'100630'","'united kingdom'",60
"'100644'","'germany'",26
"'100648'","'united kingdom'",54
"'100660'","'usa'",17
"'100668'","'canada'",61
"'10067'","'england'",61
"'100681'","'france'",54
"'10069'","'united kingdom'",41
"'100694'","'usa'",0
"'100697'","'germany'",29
"'10071'","'germany'",17
"'100736'","'usa'",23
"'100766'","'usa'",61
"'100782'","'united kingdom'",30
"'100783'","'usa'",44
"'100815'","'canada'",30
"'100820'","'canada'",0
"'100832'","'united kingdom'",28
"'100838'","'usa'",35
"'100846'","'usa'",39
"'100852'","'usa'",43
"'100865'","'usa'",19
"'100887'","'usa'",53
"'100895'","'canada'",33
"'1009'","'usa'",56
"'100903'","'usa'",0
"'100906'","'usa'",34
"'100908'","'usa'",0
"'100930'","'canada'",0
"'100964'","'usa'",31
"'100971'","'germany'",46
"'100984'","'usa'",0
"'101035'","'usa'",33
"'101041'","'usa'",17
"'101052'","'usa'",24
"'101056'","'usa'",0
"'101081'","'malaysia'",18
"'101082'","'usa'",30
"'101091'","'usa'",54
