"bookid","titlewords","authorwords","year","publisher"
"'2'",2,3,"'2001'","'2'"
"'3'",3,2,"'1991'","'3'"
"'4'",19,3,"'1999'","'4'"
"'6'",4,2,"'1991'","'6'"
"'15'",14,2,"'1998'","'15'"
"'18'",5,2,"'1994'","'18'"
"'19'",2,2,"'1999'","'19'"
"'20'",4,2,"'1994'","'20'"
"'21'",15,2,"'1999'","'21'"
"'22'",9,3,"'2001'","'22'"
"'25'",5,2,"'1999'","'25'"
"'27'",2,2,"'2004'","'27'"
"'28'",1,2,"'1997'","'28'"
"'29'",1,2,"'2000'","'28'"
"'30'",5,2,"'1996'","'10'"
"'31'",4,2,"'2003'","'29'"
"'32'",2,2,"'1998'","'7'"
"'37'",2,2,"'2000'","'32'"
"'38'",4,2,"'1988'","'33'"
"'39'",4,2,"'2002'","'28'"
"'40'",3,2,"'1993'","'34'"
"'41'",6,2,"'1996'","'35'"
"'43'",13,2,"'1979'","'37'"
"'44'",1,3,"'1995'","'38'"
"'45'",1,3,"'2000'","'39'"
"'46'",4,3,"'1994'","'40'"
"'47'",6,2,"'2001'","'39'"
"'48'",3,2,"'2002'","'7'"
"'49'",3,2,"'2002'","'7'"
"'50'",9,2,"'1997'","'19'"
"'52'",12,2,"'2000'","'42'"
"'53'",3,2,"'1999'","'19'"
"'54'",4,4,"'1988'","'43'"
"'55'",4,3,"'1982'","'44'"
"'57'",6,2,"'1992'","'46'"
"'61'",2,2,"'1986'","'40'"
"'62'",7,3,"'1991'","'49'"
"'63'",4,3,"'1995'","'49'"
"'65'",11,2,"'1978'","'28'"
"'67'",2,2,"'1994'","'7'"
"'68'",4,2,"'1994'","'51'"
"'69'",5,2,"'1998'","'52'"
"'71'",6,2,"'1997'","'52'"
"'73'",3,2,"'2003'","'55'"
"'74'",4,2,"'1983'","'56'"
"'75'",1,2,"'2003'","'28'"
"'77'",9,3,"'1991'","'58'"
"'78'",2,3,"'1987'","'59'"
"'79'",10,2,"'1988'","'49'"
