"prop_id","prop_country_id","prop_starrating","prop_review_score","prop_brand_bool","count_clicks","avg_bookings_usd","stdev_bookings_usd","count_bookings"
"'94330'","'92'",4,"4.0",0,48,436.056060606061,255.996962564123,33
"'85222'","'129'",4,"4.0",1,4,2132.38333333333,117.292057796864,3
"'54507'","'100'",3,"4.0",1,4,102.805,1.5549999999991,2
"'125400'","'219'",3,"5.0",1,5,398.5975,279.184004768808,4
"'85930'","'100'",2,"3.0",1,14,175.73,84.1119836884139,3
"'33341'","'219'",4,"4.0",1,4,172.915,0.074999999962165,2
"'24021'","'219'",2,"3.0",1,49,483.376764705882,395.598395789591,34
"'128620'","'219'",2,"3.0",1,2,55.51,0,1
"'55022'","'31'",3,"2.5",0,8,513.8975,284.610577664903,4
"'73112'","'219'",3,"5.0",1,2,1109.27,966.46,2
"'125157'","'219'",3,"4.0",1,8,250.763333333333,119.354571573759,3
"'115985'","'219'",2,"3.0",1,2,62.42,4.56,2
"'131769'","'219'",3,"4.5",1,12,472.741111111111,630.272346466976,9
"'31099'","'219'",3,"4.0",0,7,404.51,119.404573823619,4
"'123319'","'219'",4,"4.0",1,10,320.594285714286,157.748551712359,7
"'68588'","'219'",3,"4.0",1,17,175.249230769231,154.638813142683,13
"'7766'","'219'",4,"4.5",1,3,126.78,11.6299999999999,2
"'13322'","'219'",2,"4.0",1,17,568.56,763.979730130322,16
"'115106'","'219'",2,"4.0",1,5,486.06,254.248068757005,3
"'64099'","'219'",3,"4.5",1,9,241.131428571429,105.056708282251,7
"'23819'","'205'",3,"3.5",0,41,245.746086956522,147.888666401132,23
"'17057'","'129'",4,"4.5",1,13,428.952727272727,179.428282613564,11
"'19233'","'219'",2,"3.5",1,6,227.445,20.265,2
"'36785'","'99'",4,"4.0",1,20,1253.39545454545,451.516673936827,11
"'54758'","'100'",3,"4.0",1,18,244.630666666667,234.67716353796,15
"'66939'","'219'",4,"4.5",1,13,232.868,180.549241748615,10
"'15829'","'219'",2,"4.5",1,2,66.7,0,2
"'40645'","'219'",4,"3.5",0,7,572.04,146.61,2
"'59404'","'223'",4,"4.5",0,9,277.26,85.3058975100786,4
"'10173'","'100'",2,"3.0",0,8,392.862,347.278539354219,5
"'33585'","'219'",4,"4.5",1,10,192.82125,133.604158097484,8
"'57426'","'219'",2,"3.5",1,4,102.403333333333,13.4114586165047,3
