prop_id,prop_country_id,prop_starrating,prop_review_score,prop_brand_bool,count_clicks,avg_bookings_usd,stdev_bookings_usd,count_bookings
'94330','92',4,4,0,48,436.0560606,255.9969626,33
'85222','129',4,4,1,4,2132.383333,117.2920578,3
'54507','100',3,4,1,4,102.805,1.555,2
'125400','219',3,5,1,5,398.5975,279.1840048,4
'85930','100',2,3,1,14,175.73,84.11198369,3
'33341','219',4,4,1,4,172.915,0.075,2
'24021','219',2,3,1,49,483.3767647,395.5983958,34
'128620','219',2,3,1,2,55.51,0,1
'55022','31',3,2.5,0,8,513.8975,284.6105777,4
'73112','219',3,5,1,2,1109.27,966.46,2
'125157','219',3,4,1,8,250.7633333,119.3545716,3
'115985','219',2,3,1,2,62.42,4.56,2
'131769','219',3,4.5,1,12,472.7411111,630.2723465,9
'31099','219',3,4,0,7,404.51,119.4045738,4
'123319','219',4,4,1,10,320.5942857,157.7485517,7
'68588','219',3,4,1,17,175.2492308,154.6388131,13
'7766','219',4,4.5,1,3,126.78,11.63,2
'13322','219',2,4,1,17,568.56,763.9797301,16
'115106','219',2,4,1,5,486.06,254.2480688,3
'64099','219',3,4.5,1,9,241.1314286,105.0567083,7
'23819','205',3,3.5,0,41,245.746087,147.8886664,23
'17057','129',4,4.5,1,13,428.9527273,179.4282826,11
'19233','219',2,3.5,1,6,227.445,20.265,2
'36785','99',4,4,1,20,1253.395455,451.5166739,11
'54758','100',3,4,1,18,244.6306667,234.6771635,15
'66939','219',4,4.5,1,13,232.868,180.5492417,10
'15829','219',2,4.5,1,2,66.7,0,2
'40645','219',4,3.5,0,7,572.04,146.61,2
'59404','223',4,4.5,0,9,277.26,85.30589751,4
'10173','100',2,3,0,8,392.862,347.2785394,5
'33585','219',4,4.5,1,10,192.82125,133.6041581,8
'57426','219',2,3.5,1,4,102.4033333,13.41145862,3
'103682','219',3,4,0,28,663.1864286,337.4510137,14
'74999','55',3,2.5,0,0,0,0,0
'49855','219',4,4.5,1,63,397.2574286,276.3126653,35
'115954','219',3,3,0,120,276.4224324,186.4055207,74
'125004','219',2,3.5,1,13,99.3975,70.06348081,8
'84675','219',3,4.5,1,9,126.7442857,64.06796076,7
'134729','219',3,4.5,1,5,240.6325,76.25265745,4
'26007','219',2,3.5,1,21,480.6025,271.9018304,12
'48437','219',3,4.5,1,12,268.6044444,194.7949079,9
'96304','219',2,3.5,1,7,132.4525,47.06625563,4
'46043','99',3,4,1,9,451.3066667,205.6585753,6
'65373','219',2,3,1,23,92.60944444,47.31797714,18
'125599','219',3,0,0,8,49.76,0,1
'16263','219',4,4.5,1,29,404.12625,291.3158558,16
'128945','219',2,3,1,3,240.78,21.98,2
'2059','219',3,4.5,1,21,707.9944444,448.9998064,18
'65584','219',3,4,1,2,0,0,0
'50553','219',4,4,1,21,187.008125,129.4424609,16
'95394','100',2,4,0,1,0,0,0
'68530','219',3,4,1,15,702.916,779.7576501,10
'120855','219',3,4.5,1,12,313.52,115.7989729,8
'110738','219',3,3.5,0,49,512.596,296.8166098,15
'76034','219',4,4,0,14,529.0242857,337.1096507,7
'53746','219',2,3.5,0,36,304.1847059,209.6163288,17
'43927','219',3,4,1,2,118.41,39.47,2
'39827','219',4,4,0,9,206.388,133.1322342,5
'77360','219',4,4,1,50,616.73,395.0776484,18
'85562','219',4,4.5,1,15,275.546,240.36302,10
'13155','219',3,3.5,1,41,469.2056522,478.575689,23
'38419','219',5,4,1,228,474.62664,338.2816313,125
'138777','100',4,4.5,1,6,262.5125,155.4310661,4
'68689','219',3,3.5,1,51,650.5982143,609.1408547,28
'134586','219',3,4,1,8,62.035,37.375,2
'100585','219',3,4,1,25,120.746,44.48453466,20
'82343','219',3,2.5,0,6,78.3175,43.15976736,4
'14943','219',4,4.5,1,34,717.009,278.8180723,10
'8903','219',4,4.5,1,89,475.7685185,424.9518424,54
'111449','219',2,4,1,9,237.25,130.869222,6
'46204','219',4,4.5,0,17,396.5238462,163.2622546,13
'71667','219',3,5,1,1,0,0,0
'70083','181',4,5,1,5,866.2675,620.246441,4
'54922','219',3,4,1,2,278.81,26.95,2
'47622','219',2,3.5,1,0,0,0,0
'32917','219',4,4.5,1,25,130.43,52.11402458,19
'100073','219',3,4.5,1,3,117.72,0,1
'54739','100',3,3.5,0,129,284.3981176,164.7397329,85
'37598','219',3,4,1,14,184.6281818,99.99875398,11
'121167','55',3,4,1,19,150.4133333,126.691825,6
'22529','219',4,4,1,27,141.6668421,68.64209573,19
'6718','100',3,4.5,0,20,346.4069231,226.5692268,13
'39042','129',5,4,0,28,654.7126087,550.890243,23
'48928','219',4,4.5,1,4,488.58,0,1
'124924','219',4,4.5,1,49,557.012,465.0019731,25
'101337','219',3,4,1,2,152.25,54.57,2
'115039','219',2,2.5,0,2,128.88,0,1
