"srch_id","year","month","weekofyear","time","site_id","visitor_location_country_id","srch_destination_id","srch_length_of_stay","srch_booking_window","srch_adults_count","srch_children_count","srch_room_count","srch_saturday_night_bool","random_bool"
"'228724'","'2013'","'02'","'6'","'5'","'5'","'219'","'1414'",3,16,5,0,4,0,0
"'504419'","'2013'","'04'","'18'","'3'","'5'","'219'","'22911'",1,11,4,1,2,1,0
"'489155'","'2012'","'12'","'50'","'10'","'14'","'100'","'10398'",1,11,2,0,1,0,1
"'228831'","'2013'","'02'","'9'","'9'","'5'","'219'","'14543'",1,100,2,0,1,1,0
"'347510'","'2012'","'11'","'47'","'8'","'5'","'219'","'5437'",1,6,2,0,1,0,1
"'442630'","'2013'","'05'","'22'","'4'","'5'","'219'","'10893'",1,2,2,0,1,1,0
"'461179'","'2013'","'02'","'7'","'10'","'12'","'99'","'18367'",2,5,4,0,2,1,0
"'42042'","'2013'","'02'","'7'","'12'","'5'","'219'","'23904'",4,79,2,0,1,1,0
"'214441'","'2013'","'02'","'8'","'4'","'5'","'219'","'24232'",2,4,2,1,1,0,0
"'402963'","'2013'","'04'","'15'","'7'","'5'","'219'","'13104'",1,178,2,2,1,0,0
"'78828'","'2012'","'11'","'46'","'11'","'5'","'219'","'26360'",1,2,2,0,1,1,0
"'493855'","'2012'","'12'","'51'","'10'","'5'","'219'","'8192'",3,24,2,0,1,1,0
"'332418'","'2013'","'05'","'21'","'10'","'5'","'219'","'15307'",1,67,1,0,1,1,0
"'108692'","'2013'","'03'","'11'","'10'","'5'","'219'","'22945'",1,4,2,0,1,1,0
"'263250'","'2013'","'01'","'1'","'6'","'5'","'219'","'13216'",1,23,1,0,1,1,0
"'649801'","'2013'","'06'","'26'","'11'","'5'","'219'","'18774'",1,15,1,0,1,1,0
"'93926'","'2013'","'05'","'21'","'7'","'7'","'219'","'4562'",1,19,1,1,1,0,1
"'298529'","'2013'","'03'","'10'","'10'","'5'","'219'","'23282'",1,7,2,0,1,0,0
"'207045'","'2013'","'04'","'16'","'6'","'5'","'219'","'7384'",1,16,2,0,1,0,0
"'629576'","'2013'","'04'","'15'","'6'","'5'","'4'","'8916'",1,40,1,0,1,0,1
"'16820'","'2012'","'12'","'50'","'6'","'5'","'219'","'27730'",1,0,2,0,1,0,0
"'570040'","'2013'","'06'","'25'","'5'","'5'","'219'","'4687'",2,26,2,4,1,1,0
"'153789'","'2013'","'02'","'8'","'4'","'5'","'219'","'1986'",4,0,4,0,2,0,0
"'397367'","'2012'","'12'","'50'","'9'","'5'","'219'","'14684'",5,1,1,0,1,0,0
"'94218'","'2013'","'01'","'1'","'8'","'5'","'219'","'9402'",1,7,2,0,1,1,0
"'138466'","'2012'","'11'","'48'","'10'","'5'","'219'","'26571'",1,1,1,0,1,0,0
"'35102'","'2012'","'12'","'49'","'11'","'5'","'219'","'25877'",1,1,2,0,1,1,0
"'213367'","'2013'","'06'","'25'","'10'","'5'","'219'","'2853'",4,6,1,0,1,0,1
"'208971'","'2013'","'02'","'8'","'8'","'5'","'219'","'24232'",1,0,1,1,1,1,0
"'138683'","'2012'","'12'","'49'","'7'","'32'","'220'","'4485'",1,10,2,0,1,1,0
"'253179'","'2013'","'04'","'14'","'9'","'5'","'219'","'16570'",1,0,1,0,1,0,1
"'160783'","'2013'","'05'","'20'","'6'","'5'","'219'","'13334'",3,1,1,0,1,1,0
"'570294'","'2013'","'01'","'4'","'10'","'5'","'219'","'16363'",2,2,1,0,1,0,0
"'12956'","'2013'","'02'","'8'","'11'","'31'","'219'","'8275'",1,7,2,0,1,1,0
"'349769'","'2013'","'05'","'21'","'9'","'29'","'132'","'22134'",1,31,4,1,2,0,0
"'357064'","'2013'","'05'","'22'","'6'","'5'","'219'","'13216'",1,57,3,0,1,1,0
"'291500'","'2013'","'05'","'21'","'5'","'5'","'219'","'16172'",2,32,2,0,1,1,0
"'609176'","'2013'","'05'","'22'","'6'","'7'","'100'","'982'",4,80,2,1,1,1,0
"'550244'","'2013'","'05'","'21'","'9'","'5'","'219'","'8192'",1,29,3,1,1,1,0
"'580470'","'2013'","'06'","'25'","'10'","'5'","'219'","'5249'",1,1,1,0,1,1,0
"'558321'","'2012'","'11'","'47'","'9'","'14'","'100'","'8192'",1,7,2,0,1,1,0
"'322747'","'2013'","'06'","'24'","'5'","'5'","'219'","'7971'",2,42,2,0,1,1,0
"'310727'","'2013'","'03'","'11'","'5'","'14'","'100'","'14226'",1,5,1,0,1,1,0
"'453337'","'2012'","'12'","'50'","'6'","'5'","'219'","'25215'",1,1,2,0,1,0,0
"'37352'","'2013'","'02'","'7'","'12'","'18'","'31'","'8347'",4,14,5,0,2,0,1
"'329060'","'2013'","'02'","'6'","'5'","'15'","'55'","'1047'",1,13,1,0,1,0,0
"'651537'","'2013'","'02'","'8'","'5'","'5'","'219'","'11846'",1,0,2,0,1,1,1
"'516106'","'2013'","'05'","'22'","'6'","'5'","'219'","'9204'",4,1,1,0,1,0,0
"'563892'","'2013'","'04'","'15'","'12'","'5'","'219'","'18774'",2,50,1,0,1,1,1
"'331741'","'2013'","'01'","'3'","'11'","'5'","'92'","'44'",7,7,5,0,3,0,0
"'369558'","'2013'","'05'","'21'","'9'","'18'","'129'","'4562'",4,118,2,0,1,1,0
"'242988'","'2013'","'02'","'6'","'6'","'5'","'219'","'2964'",1,0,1,1,1,1,0
"'583930'","'2013'","'05'","'22'","'11'","'5'","'219'","'5536'",1,1,2,1,1,0,0
"'595959'","'2013'","'01'","'1'","'10'","'5'","'219'","'11381'",2,42,2,0,1,1,0
"'505275'","'2013'","'06'","'26'","'11'","'5'","'219'","'21218'",1,16,2,0,1,0,1
"'1705'","'2012'","'12'","'49'","'10'","'5'","'219'","'26531'",2,25,2,0,1,1,0
"'465828'","'2013'","'03'","'10'","'5'","'5'","'219'","'316'",2,38,2,0,1,1,1
"'253159'","'2013'","'02'","'6'","'12'","'5'","'219'","'9402'",1,8,2,0,1,1,0
"'193616'","'2013'","'06'","'23'","'12'","'18'","'129'","'16822'",3,51,2,0,1,0,1
"'429840'","'2013'","'05'","'18'","'6'","'5'","'219'","'11966'",2,1,2,0,1,0,0
"'363581'","'2012'","'12'","'51'","'4'","'5'","'219'","'44'",1,17,3,0,1,0,0
"'41724'","'2013'","'05'","'22'","'9'","'5'","'219'","'794'",3,17,2,0,1,1,0
"'268025'","'2013'","'06'","'22'","'8'","'7'","'100'","'4748'",3,28,2,2,1,1,0
"'189209'","'2013'","'05'","'20'","'9'","'5'","'219'","'11966'",2,96,1,2,1,1,0
"'38959'","'2012'","'11'","'45'","'8'","'5'","'219'","'23308'",5,4,1,0,1,0,0
"'389532'","'2013'","'04'","'17'","'8'","'5'","'219'","'26566'",1,26,2,0,1,0,0
"'537272'","'2013'","'06'","'26'","'9'","'5'","'219'","'20551'",1,0,2,0,1,0,0
"'281046'","'2013'","'02'","'9'","'12'","'5'","'100'","'7714'",1,22,2,0,1,0,0
"'284585'","'2012'","'12'","'51'","'12'","'5'","'219'","'20319'",1,7,3,0,1,0,1
"'264634'","'2013'","'01'","'3'","'11'","'11'","'103'","'15253'",6,95,2,0,1,0,0
"'70932'","'2013'","'01'","'2'","'6'","'5'","'219'","'13539'",2,12,2,0,1,1,0
"'155127'","'2013'","'01'","'5'","'11'","'5'","'219'","'20242'",2,18,2,0,1,1,0
"'438032'","'2012'","'12'","'50'","'12'","'5'","'219'","'11230'",1,11,2,1,1,0,1
