"airlineid","name1","name2","name4","acountry","active"
"'10'",2,"t","f","United States","t"
"'21'",2,"f","f","France","t"
"'24'",2,"t","t","United States","t"
"'28'",2,"t","t","Republic of Korea","t"
"'29'",2,"f","f","Pakistan","t"
"'32'",2,"t","f","Libya","t"
"'35'",2,"t","f","United States","t"
"'42'",4,"f","f","Brazil","t"
"'43'",1,"f","f","Brazil","f"
"'55'",2,"f","f","Kenya","t"
"'68'",2,"t","f","Canadian Territories","t"
"'83'",2,"t","f","Slovenia","t"
"'90'",2,"t","f","Spain","t"
"'96'",2,"t","t","Greece","t"
"'106'",2,"t","f","Italy","t"
"'109'",3,"f","f","United States","t"
"'116'",2,"t","f","Italy","t"
"'125'",3,"t","t","Afghanistan","t"
"'130'",3,"t","t","Russia","t"
"'132'",2,"t","f","Bosnia and Herzegovina","t"
"'137'",2,"t","f","France","t"
"'139'",3,"t","f","France","t"
"'146'",2,"t","f","Sierra Leone","t"
"'151'",3,"t","f","Senegal","f"
"'153'",2,"t","f","Namibia","t"
"'179'",1,"f","f","Peru","t"
"'197'",2,"t","t","Azerbaijan","t"
"'214'",2,"t","f","Germany","t"
"'218'",3,"t","f","India","t"
"'220'",2,"t","f","Reunion","t"
"'221'",3,"t","f","Iceland","t"
"'225'",3,"t","f","France","t"
"'231'",3,"t","t","Israel","t"
"'240'",2,"t","f","Italy","t"
"'241'",2,"t","f","India","t"
"'242'",2,"t","f","Malta","t"
"'246'",2,"f","f","United States","f"
"'312'",2,"t","f","Italy","t"
"'316'",2,"t","f","Macao","t"
"'319'",2,"t","f","Seychelles","t"
"'321'",1,"f","f","Mexico","t"
"'324'",3,"t","f","Japan","t"
"'328'",2,"t","f","Papua New Guinea","t"
"'329'",2,"t","f","United Arab Emirates","t"
"'330'",2,"t","f","Canada","t"
"'333'",2,"t","f","Latvia","t"
"'336'",2,"t","f","Japan","t"
"'338'",1,"t","f","Australia","t"
"'341'",5,"t","f","Canada","t"
"'345'",3,"t","f","New Zealand","t"
"'386'",2,"f","f","Germany","t"
"'397'",2,"t","f","United States","t"
"'407'",2,"t","f","Nigeria","f"
"'410'",1,"f","f","Portugal","t"
"'412'",2,"f","f","Argentina","t"
"'426'",2,"t","f","Armenia","f"
"'439'",2,"t","t","ALASKA","t"
"'442'",2,"t","f","Egypt","t"
"'462'",2,"t","t","Russia","t"
"'470'",2,"t","f","Burkina Faso","t"
"'476'",3,"t","t","Australia","t"
"'477'",3,"t","f","France","t"
"'491'",2,"t","t","Austria","t"
"'502'",4,"f","f","United Arab Emirates","t"
"'503'",1,"f","f","Russia","t"
"'508'",3,"t","f","United Kingdom","t"
"'515'",6,"f","f","AVIANCA","t"
"'524'",2,"t","f","Vanuatu","t"
"'543'",2,"t","f","Bangladesh","t"
"'563'",2,"f","f","Germany","t"
"'567'",2,"t","f","France","t"
"'569'",3,"t","f","India","t"
"'576'",1,"t","f","Malaysia","t"
"'595'",2,"t","t","Russia","t"
