"dairportid","dcity","dcountry","dlatitude","dlongitude","dtimezone","ddst"
"'1'","Goroka","Papua New Guinea",-6.081689,145.391881,5,"U"
"'2'","Madang","Papua New Guinea",-5.207083,145.7887,5,"U"
"'3'","Mount Hagen","Papua New Guinea",-5.826789,144.295861,5,"U"
"'4'","Nadzab","Papua New Guinea",-6.569828,146.726242,5,"U"
"'5'","Port Moresby","Papua New Guinea",-9.443383,147.22005,5,"U"
"'6'","Wewak","Papua New Guinea",-3.583828,143.669186,5,"U"
"'7'","Narssarssuaq","Greenland",61.160517,-45.425978,2,"E"
"'8'","Godthaab","Greenland",64.190922,-51.678064,2,"E"
"'9'","Sondrestrom","Greenland",67.016969,-50.689325,2,"E"
"'10'","Thule","Greenland",76.531203,-68.703161,2,"E"
"'11'","Akureyri","Iceland",65.659994,-18.072703,3,"N"
"'12'","Egilsstadir","Iceland",65.283333,-14.401389,3,"N"
"'15'","Isafjordur","Iceland",66.058056,-23.135278,3,"N"
"'16'","Keflavik","Iceland",63.985,-22.605556,3,"N"
"'18'","Reykjavik","Iceland",64.13,-21.940556,3,"N"
"'21'","Sault Sainte Marie","Canada",46.485001,-84.509445,2,"A"
"'27'","Baie Comeau","Canada",49.1325,-68.204444,2,"A"
"'28'","Bagotville","Canada",48.330555,-70.996391,2,"A"
"'29'","Baker Lake","Canada",64.298889,-96.077778,1,"A"
"'30'","Campbell River","Canada",49.950832,-125.270833,1,"A"
"'31'","Brandon","Canada",49.91,-99.951944,1,"A"
"'32'","Cambridge Bay","Canada",69.108055,-105.138333,1,"A"
"'33'","Nanaimo","Canada",49.052333,-123.870167,1,"A"
"'34'","Castlegar","Canada",49.296389,-117.6325,1,"A"
"'37'","Coppermine","Canada",67.816667,-115.143889,1,"A"
"'40'","Clyde River","Canada",70.486111,-68.516667,2,"A"
"'41'","Coral Harbour","Canada",64.193333,-83.359444,2,"A"
"'45'","Deer Lake","Canada",49.210833,-57.391388,2,"A"
"'49'","Edmonton","Canada",53.309723,-113.579722,1,"A"
"'50'","Eskimo Point","Canada",61.094166,-94.070833,1,"A"
"'54'","Inuvik","Canada",68.304167,-133.482778,1,"A"
"'55'","Iqaluit","Canada",63.75639,-68.555832,2,"A"
"'56'","Fredericton","Canada",45.868889,-66.537222,2,"A"
"'58'","Flin Flon","Canada",54.678055,-101.681667,1,"A"
"'60'","Fort Simpson","Canada",61.760153,-121.236525,1,"A"
"'61'","Kingston","Canada",44.225277,-76.596944,2,"A"
"'63'","Gaspe","Canada",48.775278,-64.478611,2,"A"
"'65'","Iles De La Madeleine","Canada",47.424721,-61.778056,2,"A"
"'67'","Dryden","Canada",49.831667,-92.744167,1,"A"
"'68'","Holman Island","Canada",70.762778,-117.806111,1,"A"
"'69'","Gjoa Haven","Canada",68.635556,-95.849722,1,"A"
"'70'","Hamilton","Canada",43.173611,-79.935,2,"A"
"'72'","Hay River","Canada",60.839722,-115.782778,1,"A"
"'73'","Halifax","Canada",44.880833,-63.50861,2,"A"
"'75'","Pond Inlet","Canada",72.683334,-77.966667,2,"A"
"'78'","Kamloops","Canada",50.702222,-120.444444,1,"A"
"'79'","Waterloo","Canada",43.460833,-80.378611,2,"A"
"'87'","Kelowna","Canada",49.956112,-119.377778,1,"A"
"'90'","Fort Mcmurray","Canada",56.653333,-111.221944,1,"A"
"'94'","Natashquan","Canada",50.19,-61.789167,2,"A"
"'100'","Ottawa","Canada",45.3225,-75.669167,2,"A"
"'106'","Port Menier","Canada",49.836389,-64.288611,2,"A"
"'108'","Prince Pupert","Canada",54.28611,-130.444722,1,"A"
"'109'","Fort Chipewyan","Canada",58.767223,-111.117222,1,"A"
"'111'","Quebec","Canada",46.791111,-71.393333,2,"A"
"'112'","Red Deer Industrial","Canada",52.182222,-113.894444,1,"A"
"'113'","Windsor","Canada",42.275556,-82.955556,2,"A"
"'115'","Kenora","Canada",49.788334,-94.363056,1,"A"
"'116'","Lethbridge","Canada",49.630278,-112.799722,1,"A"
"'117'","Moncton","Canada",46.112221,-64.678611,2,"A"
"'119'","Comox","Canada",49.710833,-124.886667,1,"A"
"'120'","Regina","Canada",50.431944,-104.665833,1,"N"
"'121'","Thunder Bay","Canada",48.371944,-89.323889,2,"A"
"'122'","Grande Prairie","Canada",55.179722,-118.885,1,"A"
"'125'","Gander","Canada",48.936944,-54.568056,2,"A"
"'126'","Sydney","Canada",46.161388,-60.047779,2,"A"
"'127'","Quesnel","Canada",53.026112,-122.510278,1,"A"
"'128'","Resolute","Canada",74.716944,-94.969444,1,"A"
"'132'","Rankin Inlet","Canada",62.81139,-92.115833,1,"A"
"'133'","Sudbury","Canada",46.625,-80.798889,2,"A"
"'135'","St. John","Canada",45.316111,-65.890278,2,"A"
"'136'","Fort Smith","Canada",60.020278,-111.961944,1,"A"
"'140'","Cape Dorset","Canada",64.23,-76.526667,2,"A"
"'141'","Thompson","Canada",55.801111,-97.864166,1,"A"
"'143'","Timmins","Canada",48.569721,-81.376667,2,"A"
"'144'","Toronto","Canada",43.627499,-79.396167,2,"A"
"'146'","Montreal","Canada",45.470556,-73.740833,2,"A"
