"artistid","numscrobbles","numlistens","rock","electronic","indie","pop","hiphop"
"'1'",5376152,95903,"t","f","f","f","f"
"'2'",10063348,116726,"f","t","f","f","f"
"'3'",4897361,126252,"f","f","f","f","f"
"'4'",4252793,94972,"t","f","f","f","f"
"'6'",17395095,315633,"f","f","f","f","f"
"'7'",106213141,2101440,"t","f","f","f","f"
"'8'",37497926,249433,"t","f","f","f","f"
"'9'",13915729,262025,"f","t","f","f","f"
"'10'",4718767,123030,"f","f","f","f","f"
"'11'",4156247,58976,"f","f","f","f","f"
"'12'",27570334,361077,"f","f","f","f","f"
"'13'",5661087,116872,"f","t","f","f","f"
"'15'",28397588,468380,"f","f","f","f","f"
"'16'",3734561,152787,"t","f","f","f","f"
"'17'",4943598,113728,"f","f","f","f","f"
"'18'",4828342,150322,"f","t","f","f","f"
"'19'",9623359,192218,"f","t","f","f","f"
"'20'",1804419,62804,"f","f","f","f","f"
"'23'",2539849,77751,"f","f","f","f","f"
"'24'",2548724,96720,"f","t","f","f","f"
"'25'",28901609,570406,"f","f","f","f","f"
"'27'",5987287,182246,"f","t","f","f","f"
"'28'",7621636,167315,"f","f","f","f","f"
"'30'",7305536,213064,"f","t","f","t","f"
"'31'",1578759,54674,"f","f","f","f","f"
"'32'",7867059,225772,"f","t","f","t","f"
"'34'",2758468,92003,"f","t","f","t","f"
"'36'",13203731,343885,"t","t","f","f","f"
"'37'",3747258,127904,"f","t","f","t","f"
"'38'",1765553,57719,"f","f","f","f","f"
"'40'",13323801,548851,"t","t","t","t","f"
"'41'",2887659,103696,"f","t","f","f","f"
"'43'",1963617,62054,"f","f","f","f","f"
"'44'",2901717,121707,"f","f","f","f","f"
"'45'",35642423,546781,"t","t","f","f","f"
"'46'",10959620,859511,"f","f","f","f","f"
"'47'",8957544,232199,"f","f","f","f","f"
"'48'",2003036,74287,"f","f","f","f","f"
"'49'",1034767,56648,"f","t","f","f","f"
"'50'",2158121,86763,"f","f","f","f","f"
"'51'",22475520,1420828,"f","f","f","t","f"
"'52'",33573055,1201237,"f","t","f","f","f"
"'53'",81093113,2037027,"f","t","f","f","f"
"'54'",19704733,929408,"f","t","f","f","f"
"'55'",55896836,1781708,"f","t","f","t","f"
"'56'",186043632,3585374,"f","t","f","f","f"
"'57'",40637728,1371981,"f","t","f","f","f"
"'58'",39681750,1605812,"f","t","f","f","f"
"'59'",41761610,1610738,"f","t","f","f","f"
"'61'",7422201,526507,"t","f","f","t","f"
"'62'",3278155,209756,"f","f","f","t","f"
"'63'",29346653,957042,"f","t","f","f","f"
"'64'",65916619,1906720,"f","t","f","f","f"
"'65'",314837807,5098047,"t","f","f","t","f"
"'66'",23479930,1309192,"f","t","f","f","f"
"'67'",127110863,2895561,"f","f","f","t","f"
"'69'",22739193,1120567,"f","f","f","f","f"
"'70'",83531062,2519330,"f","t","f","f","f"
"'71'",33384854,1806679,"f","f","f","t","f"
"'72'",139370169,2497033,"f","t","f","t","f"
"'73'",6297974,308095,"f","t","f","f","f"
