"userid","gender","age","country","year"
"'2'","f",0,"'Canada'","'2007'"
"'7'","m",17,"'Finland'","'2007'"
"'16'","m",23,"'United States'","'2005'"
"'18'","m",17,"'Finland'","'2008'"
"'22'","f",26,"'United States'","'2008'"
"'42'","f",17,"'Sweden'","'2007'"
"'43'","f",21,"'United States'","'2005'"
"'48'","m",29,"'United Kingdom'","'2008'"
"'52'","f",19,"'United States'","'2006'"
"'73'","f",23,"'Germany'","'2008'"
"'78'","f",19,"'Mexico'","'2006'"
"'83'","m",33,"'United States'","'2006'"
"'86'","f",25,"'United States'","'2006'"
"'88'","m",34,"'Italy'","'2008'"
"'103'","m",15,"'Spain'","'2008'"
"'108'","m",21,"'Sweden'","'2006'"
"'115'","m",33,"'Brazil'","'2007'"
"'117'","f",0,"'Czech Republic'","'2007'"
"'120'","m",21,"'Sweden'","'2007'"
"'121'","m",16,"'United States'","'2007'"
"'124'","f",45,"'United States'","'2005'"
"'127'","m",19,"'Ukraine'","'2009'"
"'128'","m",21,"'France'","'2008'"
"'130'","m",25,"'Finland'","'2007'"
"'140'","m",0,"'Sweden'","'2008'"
"'143'","m",20,"'United States'","'2006'"
"'152'","m",33,"'United Kingdom'","'2005'"
"'154'","o",0,"'United Kingdom'","'2008'"
"'165'","f",22,"'France'","'2007'"
"'167'","m",34,"'Sweden'","'2007'"
"'176'","m",22,"'United States'","'2007'"
"'178'","o",0,"'United Kingdom'","'2009'"
"'181'","m",20,"'Russian Federation'","'2008'"
"'191'","m",24,"'Brazil'","'2008'"
"'201'","m",21,"'United States'","'2008'"
"'202'","m",0,"'Russian Federation'","'2008'"
"'205'","m",28,"'United Kingdom'","'2005'"
"'206'","o",24,"'Ukraine'","'2008'"
"'221'","m",31,"'Brazil'","'2007'"
"'227'","m",18,"'Portugal'","'2008'"
"'230'","m",24,"'Slovenia'","'2005'"
"'236'","m",36,"'United Kingdom'","'2006'"
"'237'","m",39,"'Japan'","'2008'"
"'248'","m",26,"'Germany'","'2008'"
"'250'","m",21,"'Ireland'","'2007'"
"'258'","m",20,"'Lithuania'","'2005'"
"'273'","m",22,"'Austria'","'2006'"
"'280'","f",17,"'Romania'","'2007'"
"'290'","m",16,"'Sweden'","'2007'"
"'304'","m",32,"'Germany'","'2007'"
"'308'","m",24,"'Canada'","'2007'"
"'344'","m",0,"'United Kingdom'","'2007'"
"'347'","m",24,"'Russian Federation'","'2008'"
"'351'","f",15,"'Norway'","'2008'"
"'352'","m",31,"'United States'","'2008'"
"'354'","f",15,"'Denmark'","'2007'"
"'378'","m",24,"'United States'","'2007'"
"'387'","m",19,"'Mexico'","'2009'"
"'396'","m",20,"'United States'","'2006'"
"'399'","m",34,"'Netherlands'","'2008'"
"'413'","m",44,"'Sweden'","'2008'"
"'414'","m",30,"'Poland'","'2006'"
"'418'","m",19,"'Ukraine'","'2008'"
"'431'","m",19,"'Austria'","'2008'"
"'444'","m",25,"'United States'","'2006'"
"'453'","f",26,"'Turkey'","'2007'"
"'454'","m",18,"'Poland'","'2007'"
"'469'","m",-1337,"'United Kingdom'","'2008'"
"'477'","m",28,"'Israel'","'2006'"
"'482'","m",24,"'Netherlands'","'2007'"
"'499'","o",0,"'Sweden'","'2008'"
"'500'","m",21,"'Brazil'","'2007'"
"'516'","m",0,"'Portugal'","'2009'"
"'517'","m",25,"'Poland'","'2008'"
"'521'","f",30,"'United States'","'2007'"
"'524'","m",0,"'Germany'","'2008'"
"'550'","m",21,"'Argentina'","'2007'"
"'551'","m",16,"'United Kingdom'","'2008'"
"'558'","f",17,"'Brazil'","'2007'"
"'560'","m",0,"'Brazil'","'2007'"
"'568'","m",19,"'United States'","'2005'"
"'572'","m",0,"'Germany'","'2009'"
"'583'","m",19,"'Poland'","'2008'"
"'585'","f",20,"'Canada'","'2008'"
"'586'","f",15,"'Netherlands'","'2008'"
"'589'","m",21,"'United States'","'2007'"
"'597'","m",29,"'United States'","'2004'"
"'621'","m",23,"'United States'","'2006'"
"'630'","o",0,"'United States'","'2008'"
"'633'","m",20,"'Brazil'","'2007'"
"'652'","f",18,"'Poland'","'2008'"
"'659'","m",60,"'Germany'","'2008'"
"'671'","m",23,"'United States'","'2006'"
"'677'","m",24,"'United States'","'2005'"
"'702'","m",28,"'Brazil'","'2006'"
"'712'","m",23,"'Canada'","'2007'"
"'719'","f",19,"'Finland'","'2007'"
"'728'","m",0,"'Germany'","'2009'"
"'730'","m",16,"'Norway'","'2008'"
"'731'","m",41,"'Sweden'","'2008'"
"'745'","m",19,"'United States'","'2007'"
"'765'","f",13,"'Peru'","'2009'"
"'766'","m",26,"'France'","'2006'"
"'798'","m",38,"'Portugal'","'2006'"
"'811'","m",19,"'Poland'","'2008'"
"'814'","m",0,"'Canada'","'2008'"
"'819'","m",21,"'Poland'","'2007'"
"'835'","m",20,"'United Kingdom'","'2005'"
"'855'","m",24,"'Germany'","'2006'"
"'860'","f",18,"'Croatia'","'2008'"
"'869'","m",22,"'Germany'","'2006'"
"'877'","m",26,"'United Kingdom'","'2006'"
"'881'","o",24,"'France'","'2007'"
"'901'","m",21,"'United States'","'2006'"
"'909'","m",29,"'Spain'","'2007'"
"'913'","f",20,"'France'","'2008'"
"'915'","m",17,"'United States'","'2006'"
"'924'","m",16,"'Netherlands'","'2007'"
"'939'","f",23,"'Poland'","'2008'"
"'964'","f",0,"'Canada'","'2008'"
"'968'","m",0,"'United States'","'2008'"
"'974'","o",0,"'United Kingdom'","'2007'"
"'977'","m",23,"'United Kingdom'","'2006'"
"'995'","f",26,"'United States'","'2005'"
"'1000'","f",17,"'Sweden'","'2008'"
"'1005'","m",1,"'Norway'","'2007'"
"'1012'","f",0,"'United States'","'2007'"
"'1013'","m",25,"'Austria'","'2007'"
"'1015'","f",21,"'Brazil'","'2007'"
"'1020'","f",26,"'United States'","'2007'"
"'1031'","f",30,"'Germany'","'2007'"
"'1034'","m",62,"'France'","'2005'"
"'1043'","m",35,"'Norway'","'2006'"
"'1045'","m",39,"'Argentina'","'2008'"
"'1046'","m",39,"'United States'","'2007'"
"'1052'","f",20,"'Russian Federation'","'2008'"
"'1053'","m",27,"'Poland'","'2008'"
"'1054'","o",50,"'Netherlands'","'2008'"
"'1058'","m",26,"'Germany'","'2008'"
"'1063'","o",22,"'Germany'","'2007'"
"'1070'","m",0,"'Italy'","'2006'"
"'1072'","m",16,"'Russian Federation'","'2008'"
"'1073'","o",23,"'Sweden'","'2007'"
"'1076'","m",42,"'United Kingdom'","'2007'"
"'1081'","m",21,"'United Kingdom'","'2006'"
"'1082'","m",22,"'Mexico'","'2009'"
"'1085'","f",22,"'United States'","'2007'"
"'1089'","m",29,"'Netherlands'","'2007'"
"'1094'","m",54,"'United Kingdom'","'2004'"
"'1100'","m",24,"'Sweden'","'2005'"
"'1109'","f",22,"'France'","'2009'"
"'1110'","m",20,"'United States'","'2008'"
"'1119'","m",31,"'Serbia'","'2007'"
"'1120'","m",0,"'United Kingdom'","'2007'"
"'1123'","f",29,"'Denmark'","'2007'"
"'1130'","f",0,"'Finland'","'2007'"
"'1134'","m",0,"'United Kingdom'","'2007'"
"'1141'","f",18,"'United States'","'2007'"
"'1142'","m",23,"'United States'","'2007'"
"'1143'","m",0,"'Germany'","'2007'"
"'1148'","f",0,"'United States'","'2009'"
"'1160'","o",49,"'Germany'","'2008'"
"'1161'","m",25,"'Belgium'","'2006'"
"'1165'","m",18,"'Bulgaria'","'2008'"
"'1166'","m",0,"'Russian Federation'","'2009'"
"'1179'","m",0,"'Sweden'","'2008'"
"'1185'","f",26,"'Russian Federation'","'2007'"
"'1190'","f",26,"'United Kingdom'","'2005'"
"'1192'","m",17,"'Spain'","'2009'"
