"movieid","namewords","namepar","year","action","adventure","animation","children.s","comedy","crime","documentary","drama","fantasy","film.noir","horror","musical","mystery","romance","sci.fi","thriller","war","western"
"'1'",2,"f","'1995'","f","f","t","t","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'2'",1,"f","'1995'","f","t","f","t","f","f","f","f","t","f","f","f","f","f","f","f","f","f"
"'3'",3,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'4'",3,"f","'1995'","f","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'5'",6,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'6'",1,"f","'1995'","t","f","f","f","f","t","f","f","f","f","f","f","f","f","f","t","f","f"
"'7'",1,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'8'",3,"f","'1995'","f","t","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'9'",2,"f","'1995'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'10'",1,"f","'1995'","t","t","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'11'",3,"f","'1995'","f","f","f","f","t","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'12'",5,"f","'1995'","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f","f","f","f"
"'13'",1,"f","'1995'","f","f","t","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'14'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'15'",2,"f","'1995'","t","t","f","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'16'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","t","f","f"
"'17'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'18'",2,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'19'",5,"f","'1995'","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'20'",2,"f","'1995'","t","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f"
"'21'",2,"f","'1995'","t","f","f","f","t","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'22'",1,"f","'1995'","f","f","f","f","f","t","f","t","f","f","f","f","f","f","f","t","f","f"
"'23'",1,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f"
"'24'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","f","f","f"
"'25'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","t","f","f","f","f"
"'26'",1,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'27'",3,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'28'",1,"f","'1995'","f","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f"
"'29'",5,"f","'1995'","f","t","f","f","f","f","f","f","f","f","f","f","f","f","t","f","f","f"
"'30'",9,"t","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'31'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","f","f","f","f"
"'32'",2,"f","'1995'","f","f","f","f","f","f","f","t","f","f","f","f","f","f","t","f","f","f"
"'33'",3,"f","'1995'","f","t","f","f","f","f","f","f","f","f","f","f","f","t","f","f","f","f"
