purchaseid,temperature_avg,temperature_stdev,fuel_price_avg,fuel_price_stdev,cpi_avg,cpi_stdev,unemployment_avg,unemployment_stdev,holidayfreq
'02-49',02-49,41.76,0,3.158,0,218.605037,0,7.441,0,2
'02-50',02-50,50.13,0,3.159,0,218.8217928,0,7.441,0,2
'02-51',02-51,46.66,0,3.112,0,218.9995495,0,7.441,0,2
'03-49',03-49,49.26,0,3.158,0,222.4167852,0,7.197,0,2
'03-50',03-50,57.95,0,3.159,0,222.6426418,0,7.197,0,2
'03-51',03-51,53.41,0,3.112,0,222.8258628,0,7.197,0,2
'04-49',04-49,31.64,0,3.153,0,129.8555333,0,5.143,0,2
'04-50',04-50,36.44,0,3.149,0,129.8980645,0,5.143,0,2
'04-51',04-51,35.92,0,3.103,0,129.9845484,0,5.143,0,2
'05-49',05-49,44.12,0,3.158,0,219.540637,0,6.3,0,2
'05-50',05-50,54.42,0,3.159,0,219.7596266,0,6.3,0,2
'05-51',05-51,50.33,0,3.112,0,219.9387246,0,6.3,0,2
'09-49',09-49,37.65,0,3.158,0,222.6561203,0,6.054,0,2
'09-50',09-50,47.31,0,3.159,0,222.8825484,0,6.054,0,2
'09-51',09-51,44.43,0,3.112,0,223.0661125,0,6.054,0,2
'10-49',10-49,42.58,0,3.644,0,129.8555333,0,7.874,0,2
'10-50',10-50,50.53,0,3.489,0,129.8980645,0,7.874,0,2
'10-51',10-51,48.36,0,3.541,0,129.9845484,0,7.874,0,2
'11-49',11-49,50.63,0,3.158,0,222.4167852,0,7.197,0,2
'11-50',11-50,59.69,0,3.159,0,222.6426418,0,7.197,0,2
'11-51',11-51,54.29,0,3.112,0,222.8258628,0,7.197,0,2
'12-49',12-49,42.17,0,3.644,0,129.8555333,0,12.89,0,2
'06-49',06-49,43.64,0,3.158,0,220.5457961,0,6.551,0,2
'06-50',06-50,53.27,0,3.159,0,220.7671856,0,6.551,0,2
'06-51',06-51,49.45,0,3.112,0,220.9477245,0,6.551,0,2
'07-49',07-49,11.17,0,3.331,0,195.8742575,0,8.513,0,2
'07-50',07-50,15.2,0,3.266,0,195.9841685,0,8.513,0,2
'07-51',07-51,12.19,0,3.173,0,196.1713893,0,8.513,0,2
'08-49',08-49,30.51,0,3.158,0,222.4651238,0,6.123,0,2
'08-50',08-50,39.79,0,3.159,0,222.6910959,0,6.123,0,2
'08-51',08-51,38.16,0,3.112,0,222.8743862,0,6.123,0,2
'12-50',12-50,43.29,0,3.6,0,129.8980645,0,12.89,0,2
'12-51',12-51,45.4,0,3.541,0,129.9845484,0,12.89,0,2
'13-49',13-49,24.82,0,3.341,0,129.8555333,0,6.392,0,2
'13-50',13-50,27.85,0,3.282,0,129.8980645,0,6.392,0,2
'01-01',01-01,46.53,3.67330913482655,2.90166666666667,0.299500139120724,214.071786066667,4.88895623950845,7.732,0.379098931678768,7
'01-03',01-03,46.0266666666667,7.29576817979673,2.93266666666667,0.383845455011952,214.3673555,4.87305259615166,7.732,0.379098931678768,7
'01-04',01-04,48.24,5.39817561774338,2.95366666666667,0.367750368230041,214.531850966667,4.8238347843642,7.732,0.379098931678768,7
'01-02',01-02,40.8133333333333,6.86135798026408,2.93066666666667,0.359369355028132,214.197369,4.93332491192445,7.732,0.379098931678768,6
'13-51',13-51,24.76,0,3.186,0,129.9845484,0,6.392,0,2
'14-49',14-49,46.57,0,3.415,0,188.6544692,0,8.523,0,2
'14-50',14-50,39.93,0,3.413,0,188.7979349,0,8.523,0,2
'14-51',14-51,42.27,0,3.389,0,188.9299752,0,8.523,0,2
'15-49',15-49,38.53,0,3.627,0,136.5030667,0,7.866,0,2
'15-50',15-50,35.49,0,3.611,0,136.5335161,0,7.866,0,2
'15-51',15-51,34.93,0,3.587,0,136.5883871,0,7.866,0,2
'16-49',16-49,14.44,0,3.331,0,195.8742575,0,6.232,0,2
'16-50',16-50,22.5,0,3.266,0,195.9841685,0,6.232,0,2
'16-51',16-51,20.79,0,3.173,0,196.1713893,0,6.232,0,2
'17-49',17-49,17.56,0,3.341,0,129.8555333,0,6.617,0,2
'17-50',17-50,21.07,0,3.282,0,129.8980645,0,6.617,0,2
'17-51',17-51,18.76,0,3.186,0,129.9845484,0,6.617,0,2
'18-49',18-49,42.36,0,3.47,0,136.5030667,0,8.471,0,2
'18-50',18-50,35.52,0,3.445,0,136.5335161,0,8.471,0,2
'18-51',18-51,35.78,0,3.413,0,136.5883871,0,8.471,0,2
'19-49',19-49,40.18,0,3.627,0,136.5030667,0,7.866,0,2
'19-50',19-50,37.07,0,3.611,0,136.5335161,0,7.866,0,2
'19-51',19-51,36.09,0,3.587,0,136.5883871,0,7.866,0,2
