store,type,size
'1','1',151315
'2','1',202307
'3','2',37392
'4','1',205863
'5','2',34875
'6','1',202505
'7','2',70713
'8','1',155078
'9','2',125833
'10','2',126512
'11','1',207499
'12','2',112238
'13','1',219622
'14','1',200898
'15','2',123737
'16','2',57197
'17','2',93188
'18','2',120653
'19','1',203819
'20','1',203742
'21','2',140167
'22','2',119557
'23','2',114533
'24','1',203819
'25','2',128107
'26','1',152513
'27','1',204184
'28','1',206302
'29','2',93638
'30','3',42988
'31','1',203750
'32','1',203007
'33','1',39690
'34','1',158114
'35','2',103681
'36','1',39910
'37','3',39910
'38','3',39690
'39','1',184109
'40','1',155083
'41','1',196321
'42','3',39690
'43','3',41062
'44','3',39910
'45','2',118221
