"businessid","cat109","cat363","cat361","cat366","cat344","cat33","city","cat501","cat444","cat404","cat259","cat246","cat79","open","cat221","cat314","cat104","state","latitude","longitude","bstars","breviewcnt","wday1","wday2","wday3","wday4","wday5","wend1","wend2","wend3","wend4","wend5"
"__apI0spr0I996M9DRpUwg","f","f","f","f","f","t","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.610919,-111.978912,4,5,4,4,4,4,4,4,4,4,4,4
"__szJVgpRqcISuzdLfUfEw","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","f","f","f","f","AZ",33.5385409,-111.8801011,3.5,3,4,4,4,4,4,4,4,4,4,4
"_-9pMxBWtG_x8l4rHWBasg","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.5102068,-112.0272041,3.5,98,0,4,18,15,22,0,2,7,6,9
"_-TRcD1fi3Eq6U0tEb6Qnw","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.576971,-112.1159816,3,6,4,4,4,4,4,4,4,4,4,4
"_0DvMQAs9KvA58Pf3Z4ltg","f","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.7110102,-112.1142778,5,4,0,0,3,1,1,0,0,0,0,0
"_0Eql3UB3K5-6q4IHNBbWA","f","f","f","f","f","t","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.3052569,-112.0534109,4,3,4,4,4,4,4,4,4,4,4,4
"_1L05qn1d7HxSluIeXdA7g","f","f","t","f","f","f","Gilbert","f","t","f","f","f","f","t","f","f","f","AZ",33.365662,-111.823784,5,4,4,4,4,4,4,4,4,4,4,4
"_1lXRQ2Qda8HDpUQUqTYwA","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.5196796,-112.0977034,2.5,5,4,4,4,4,4,4,4,4,4,4
"_1QQZuf4zZOyFCvXc0o6Vg","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.5229446452242,-111.907886266708,4.5,88,0,13,15,13,21,1,8,8,6,9
"_24yX7pxBqbjQBZIvxGPgw","f","t","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.639448,-111.888899,4.5,7,4,4,4,4,4,4,4,4,4,4
"_2c_10hbSHX0CJfMXytLdA","f","f","f","t","f","f","Glendale","f","f","f","f","f","f","t","f","f","f","AZ",33.5349253,-112.1847509,5,3,4,4,4,4,4,4,4,4,4,4
"_2sa9ikO_Xm5xe2lqHQZUg","f","f","t","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.6272318,-112.0121147,3.5,6,0,6,8,1,1,0,0,2,0,0
"_4_84uCAFDI2VHHEQz5f2g","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.494729,-112.025669,4.5,20,0,3,11,5,0,0,0,2,1,0
"_4cPh_1xl82LwvAorlhZjQ","f","f","f","t","f","f","Peoria","f","f","f","f","f","f","t","f","f","f","AZ",33.555048,-112.221151,5,3,4,4,4,4,4,4,4,4,4,4
"_4kkqB-ZqnnD7u_Xjnmtgg","f","f","f","f","f","t","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.4994194,-111.9230318,4.5,27,0,2,13,8,2,0,0,0,0,0
"_4PneR-GyiymyNlwQ37V-w","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.3776634,-112.0331782,4,3,5,11,7,10,5,1,5,6,3,1
"_4yz-KdFD9VtknWBIhSW6Q","t","f","f","f","f","f","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.24282,-111.8413001,1.5,4,0,1,3,3,5,0,0,2,1,1
"_5pEu2d9tFzqqVXLJJb5KQ","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","f","f","f","f","AZ",33.5083781,-111.9258659,4,3,4,4,4,4,4,4,4,4,4,4
"_5qkBSljHlRo5B9GQLDp3w","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.4949032,-112.0302201,3.5,3,0,3,7,2,1,0,0,3,0,0
"_5TsomTAJKTIrWayGPHk6g","f","f","f","f","f","f","Glendale","f","f","f","f","f","f","t","f","f","f","AZ",33.6640037,-112.2027562,5,4,0,2,2,2,0,0,0,2,0,0
"_5XiNlHOxz8osMusV4-ZqA","f","f","t","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.4152304,-111.8234333,3,4,4,4,4,4,4,4,4,4,4,4
"_7EJtWjOjZsBUNRvzw-_Xg","t","f","f","f","f","f","Glendale","f","f","f","f","f","f","t","f","f","f","AZ",33.5385330716233,-112.260360717773,2.5,16,2,0,5,11,12,0,1,4,4,5
"_7Mpa61xZCAwagQxK7yyEA","f","f","f","f","f","f","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.3350177,-111.9270792,3,13,0,0,3,3,2,0,0,0,0,0
"_8IwRyq-N0kQqnTB-NTUwQ","f","f","f","f","f","f","Phoenix","f","f","f","t","f","f","t","f","f","f","AZ",33.5969142,-112.0138792,3.5,6,6,11,7,4,6,1,3,3,1,3
"_8KSZw_NbyxnLZTev02wtw","f","f","f","f","f","f","Gilbert","f","f","f","t","f","f","t","f","f","f","AZ",33.306503,-111.75805,2.5,8,1,20,6,1,0,0,7,1,1,0
"_9h-jH3YOkAU9-2A-dy6YQ","t","f","f","f","t","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.384734,-111.857879,3,43,5,6,10,14,24,1,2,6,6,11
"_9JDgUdXbCn1Vx-nj49VJg","f","f","f","f","f","f","Chandler","f","f","f","t","f","f","t","f","f","f","AZ",33.307263,-111.8742595,4.5,10,2,18,14,6,6,1,7,6,2,1
"_9TMkGfbOyniL-5P3Sx0nw","t","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.4156796,-111.7936742,4,4,4,4,4,4,4,4,4,4,4,4
"_9wiSQbsRe0fiVeHQkxygQ","t","f","f","f","f","f","Queen Creek","f","f","f","f","f","f","t","f","f","f","AZ",33.249971,-111.634346,3,9,0,3,5,3,11,1,2,1,3,2
"_9yrJLQpFa4JWvJ74xuHpw","t","f","f","f","f","f","Mesa","f","f","f","f","f","f","t","f","f","f","AZ",33.4132779,-111.6846354,4,8,0,2,4,4,4,0,0,1,2,3
"_A4x1TNYwm0XY1V882aUJw","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.5855145,-111.9262001,4.5,3,0,0,3,1,1,0,1,0,0,0
"_A4zWsLoLbjozEJYHLDx0Q","t","f","f","f","f","f","Gila Bend","f","f","f","f","f","f","t","f","f","f","AZ",32.9484261,-112.7117802,4,19,0,2,6,3,5,0,0,1,1,2
"_AnSrEL8OP8K0o5udRVVcA","f","f","f","f","f","f","Phoenix","f","f","f","t","f","f","f","f","f","f","AZ",33.7129708,-112.1130157,3.5,6,4,4,4,4,4,4,4,4,4,4
"_AvHni-xdRHmZ3XfYHwGkg","t","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.506941,-111.926536,4,144,0,1,3,7,25,1,1,1,2,6
"_AwvPzaNPGQ_QZSWgsfOiw","f","f","f","f","f","f","Peoria","f","f","f","t","f","f","t","f","f","f","AZ",33.5515055,-112.2698024,3.5,8,0,1,0,6,2,0,0,2,0,0
"_BhzcKojv1gjdRINe3Gkig","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.5093706,-112.0273984,4,27,0,2,3,6,13,0,0,0,1,3
"_BO7_ulfZdLbknZBc1Tj0Q","f","f","f","f","f","f","Avondale","f","f","f","f","t","t","t","f","f","f","AZ",33.446702,-112.340916,3.5,3,4,4,4,4,4,4,4,4,4,4
"_bSdZgx6OuvkfIdudGKwGg","f","f","f","f","f","f","Surprise","t","f","f","f","t","t","t","f","f","f","AZ",33.63999,-112.421519,3.5,5,1,0,2,2,5,0,0,1,1,3
"_bsTEMjThKNd8CfiHBX6wg","f","f","f","f","f","f","Chandler","f","f","f","f","f","f","t","t","f","f","AZ",33.2997534,-111.8416714,5,35,2,17,20,14,17,0,3,6,4,5
"_C4LYux9IHgTr0ghYbKVgA","f","f","f","t","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5131565,-112.0651275,4,5,4,4,4,4,4,4,4,4,4,4
"_cBpwhLLV3_V34HhYV_W7g","f","f","f","f","f","t","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.6401986,-112.0703864,3,4,0,2,0,2,2,0,0,2,0,0
"_cG0BFYyHXcwheKXR5RRBA","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.629432,-111.8835,2.5,4,0,2,1,1,0,0,0,1,0,0
"_CG5zJAoNN6gszjhSyUcww","t","f","f","f","f","f","Chandler","f","f","f","f","f","f","t","f","f","f","AZ",33.3117903,-111.8412173,4,109,0,2,13,7,12,0,1,6,4,5
"_CIodPGuvPP2khYkDk1jKw","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5089602510834,-112.083414396969,5,8,3,0,0,0,11,3,0,0,2,5
"_CUuy5l9IAn8f4iJt7cZmQ","f","f","f","f","f","t","Goodyear","f","f","f","f","f","f","t","f","f","f","AZ",33.4503315936579,-112.359924316406,4.5,7,4,4,4,4,4,4,4,4,4,4
"_D3KUba-5fHTbucTBAnigw","t","f","f","f","f","f","Gilbert","f","f","f","f","f","f","t","f","f","f","AZ",33.3185552,-111.841572,2.5,5,0,1,4,1,2,0,0,0,1,0
"_D5xaPpKWV8oLZMqRo75Mw","f","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","f","f","f","f","AZ",33.5019817,-111.9276185,3,5,4,4,4,4,4,4,4,4,4,4
"_DfLxjCmnEYrdV6srvzybg","f","f","f","f","f","f","Anthem","f","f","f","t","f","f","t","f","f","f","AZ",33.870542,-112.149593,3,3,1,2,4,2,1,1,1,0,1,0
"_do7DRRW2-YrSls6lRqxYw","f","f","f","t","f","f","Tempe","f","f","f","f","f","f","t","f","f","f","AZ",33.4255104,-111.9400054,1.5,4,4,4,4,4,4,4,4,4,4,4
"_DQemxJ8mjI0VfNMPd0O1g","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.5561035,-112.1131396,2,4,2,2,0,0,4,0,0,0,0,0
"_dVPzYGXKNg2rIsc40VtyA","t","f","f","f","f","f","Scottsdale","f","f","f","f","f","f","t","f","f","f","AZ",33.4952011,-111.9078794,2.5,7,2,9,11,3,4,2,4,4,2,1
"_DziycfFcop5p_9VzE-DyA","f","f","f","f","f","f","Phoenix","f","f","f","f","f","f","f","f","f","f","AZ",33.495108,-112.033029,3.5,3,4,4,4,4,4,4,4,4,4,4
"_eCrBSIXbGEW62ynS2_0lA","t","f","f","f","f","f","Phoenix","f","f","f","f","f","f","t","f","f","f","AZ",33.654355,-112.099227,1.5,7,0,0,1,2,2,0,0,1,1,0
