"userid","ureviewcnt","ustars","vuseful","vfunny","vcool","gender"
"__7iSC6XCyWW4pHd8Cz0SQ",91,3.57,29,10,8,"M"
"__b7YV2PZCin-nL2KC4RKg",13,3.77,14,8,10,"F"
"__FXEOrWIjXMOElz2pGlBQ",9,3.56,14,8,7,"F"
"__IH6IiLx8-V0KvEcn1u6g",9,5,5,0,0,"M"
"__k3AFYK7Yev9OFyPVSAaw",5,3.4,4,0,2,"M"
"__mbhFpCj377OxiJJozXRQ",7,4.8,6,1,2,"F"
"__nf0YteodiVIZqn8Log6A",4,5,2,0,0,"M"
"_-f4Azo-TG5byU0GO7DgVw",8,1.5,5,2,1,"F"
"_-IoPDJhQGB7DrW8ST_3bg",21,3.15,11,0,4,"M"
"_-JsSzkBgow_FEHNH3-HFQ",33,3.79,23,7,9,"F"
"_-Lbs5aXiJyXtfE6ff17rQ",35,3.43,27,3,4,"M"
"_-oKt8pfqoQXbRZUi49cSg",17,4,29,1,4,"M"
"_-RqQw65WM2hqZUbKMP3TQ",11,4.45,25,3,1,"M"
"_-ToowlkRvnhs9vb9pGTdg",6,4.5,4,2,4,"F"
"_-uQQRCGrBTOdHNYrPe8gg",7,4.29,14,9,8,"F"
"_-Zrzf2QYiw4KHugUTXNYQ",56,3.77,122,36,59,"M"
"_00XHr9on_5mWtaiYtdZjg",3,4.67,2,1,1,"F"
"_01X4a-sS1Oc2yZuMMuCEQ",16,4.25,20,1,3,"M"
"_059bXRkCzdOiEmPxZnUIA",72,3.4,61,102,23,"M"
"_0AlzcZa4vHSuOHcEbTeNg",5,2.6,3,2,1,"M"
"_0Hjy7qRwJmK7x5W4EVwaQ",4,3,3,0,0,"M"
"_0KkuMf1GL-ccyCR-o_Qpw",9,3.33,11,1,2,"M"
"_0McmtH_hhgxkEUHxsMTtg",10,2.9,4,0,0,"M"
"_0qooi7ARtAuZgjoEbBSsQ",1,5,3,0,0,"F"
"_0szALNJcjAWCPyF7uxbKA",59,3.31,71,37,37,"F"
"_0wsW5uexL4r5Pe2HtmKSw",141,3.81,123,66,83,"M"
"_0wxZnuCcfTcSL0v6BX4dQ",15,3.8,14,2,8,"F"
"_0x9opFdEYAm_vxzKtKuIA",5,4,1,0,0,"F"
"_16aYVe0D-MogKeB4RR0sg",12,4.17,2,2,1,"M"
"_1BMyBcMBjkrupgzLrJYxg",56,3.89,53,25,33,"M"
"_1HG5OfW1XqEmFHnbZQSNw",51,2.67,78,53,38,"M"
"_1K71NCvoTRAXtZYrTyGdw",121,3.42,68,6,14,"M"
"_1OTipGDKze-M0XaYh-kXQ",1114,3.9,2558,1299,1612,"M"
"_1OzCKHJrXCNUwAhb8zmBQ",4,4,0,0,0,"M"
"_1PI3yfK3jW9CLTx_my14A",13,5,7,0,4,"M"
"_1PmRIeiFmevDYJtHz4bkw",6,4.17,17,5,8,"F"
"_1yFoz-elOrMbGAvYeVegA",3,1,1,1,1,"F"
"_22p_5AH3FaWC7uVeLauGQ",1,5,0,1,0,"F"
"_266IoyNQPtof2akV9G4jw",89,3.53,340,105,247,"F"
"_2f_uvYsEti96IfiTmDpOQ",63,4.15,25,3,2,"M"
"_2OsjLTTTgnGMACq9YybSg",5,3.75,2,3,0,"F"
"_2oYcAukTIaexAnsjUo9tg",39,4.08,85,52,40,"F"
"_2qk1vQjKw6iJV9dnX_k5w",2,4.5,0,1,0,"M"
"_2tbiwPMdj5n1BKOFSi3rA",11,4.09,1,0,0,"M"
"_2wHifUVGhR1FC8MfSGpSA",2,5,0,1,1,"M"
"_30zceRU7DUptt-R4De4vg",7,3.14,7,0,0,"F"
